Contig,Gene,log2-fold change (after/before drought),TAIR or Pfam ID,Symbol,Protein product of domain type
m01oak27283Cz,,1.69,,,
m01oak64415Cz,,1.69,,,
m01oak01304cC,m01oak01304cC-t01.1,1.69,AT5G10780,,unknown protein
m01oak69996Cz,,1.69,,,
m01oak07336CT,,1.69,,,
m01oak12809Cf,m01oak12809Cf-t01.1,1.69,D:PF03726 D:PF03725 D:PF01138,PNPase RNase_PH_C RNase_PH,"Polyribonucleotide nucleotidyltransferase, RNA binding domain ~ 3' exoribonuclease family, domain 2 ~ 3' exoribonuclease family, domain 1"
m01oak10574CC,m01oak10574CC-t01.1,1.69,AT2G33540,CPL3,C-terminal domain phosphatase-like 3
m01oak20270Cz,,1.68,,,
m01oak55754Cz,,1.68,,,
m01oak31508Cz,,1.68,,,
m01oak00034cC,m01oak00034cC-t01.1,1.68,F:PF01201,Ribosomal_S8e,Ribosomal protein S8e
m01oak46268Cz,,1.68,,,
m01oak11597jC,m01oak11597jC-t01.1,1.68,AT4G23540,,ARM repeat superfamily protein
m01oak30959Cz,,1.68,,,
m01oak69385Cz,,1.68,,,
m01oak14518CC,m01oak14518CC-t01.1,1.68,AT2G23790,,Protein of unknown function (DUF607)
m01oak54914Cz,,1.68,,,
m01oak70580Cz,,1.68,,,
m01oak56482CT,,1.68,,,
m01oak03910cC,m01oak03910cC-t01.1,1.68,AT3G02020,AK3,aspartate kinase 3
m01oak49719Ji,m01oak49719Ji-t01.1,1.68,r:PF13516 r:PF13855 r:PF00560,3x:LRR_6 4x:LRR_8 6x:LRR_1,Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak58004Cz,,1.68,,,
m01oak39115Cz,,1.68,,,
m01oak51224Jz,,1.68,,,
m01oak23961Cz,,1.68,,,
m01oak11707CC,m01oak11707CC-t01.1,1.68,D:PF00561 D:PF12695 D:PF12697,Abhydrolase_1 Abhydrolase_5 Abhydrolase_6,alpha/beta hydrolase fold ~ Alpha/beta hydrolase family ~ Alpha/beta hydrolase family
m01oak28484Cz,,1.68,,,
m01oak11038Ct,m01oak11038Ct-t01.1,1.68,AT1G13450,,Homeodomain-like superfamily protein
m01oak32829Cz,,1.68,,,
m01oak53267Cz,,1.68,,,
m01oak10491jF,m01oak10491jF-t01.1,1.68,AT4G25610,,C2H2-like zinc finger protein
m01oak17142Cz,,1.68,,,
m01oak16238jC,,1.68,,,
m01oak00534CC,m01oak00534CC-t01.1,1.68,D:PF08442,ATP-grasp_2,ATP-grasp domain
m01oak23570Cz,,1.68,,,
m01oak15570Ct,m01oak15570Ct-t01.1,1.68,AT2G32415,,"Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain"
m01oak09867cC,m01oak09867cC-t01.1,1.68,AT5G54080,HGO,"homogentisate 1,2-dioxygenase"
m01oak05625CC,m01oak05625CC-t01.1,1.68,AT3G58490,,Phosphatidic acid phosphatase (PAP2) family protein
m01oak08761cC,m01oak08761cC-t01.1,1.68,AT1G61140,EDA16,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related
m01oak12601cC,m01oak12601cC-t01.1,1.68,AT1G67970,HSFA8,heat shock transcription factor A8
m01oak04138CC,m01oak04138CC-t01.1,1.68,AT3G44190,,FAD/NAD(P)-binding oxidoreductase family protein
m01oak14377Cz,,1.68,,,
m01oak44715Cz,,1.68,,,
m01oak05790cC,m01oak05790cC-t01.1,1.68,AT2G36850,GSL8,glucan synthase-like 8
m01oak29395Cz,,1.68,,,
m01oak34336Cz,,1.68,,,
m01oak54262Cz,,1.68,,,
m01oak14112Cz,,1.68,,,
m01oak26019Cz,,1.68,,,
m01oak42163Cz,,1.68,,,
m01oak44095cf,m01oak44095cf-t01.1,1.68,F:PF08263 F:PF12799,LRRNT_2 LRR_4,Leucine rich repeat N-terminal domain ~ Leucine Rich repeats (2 copies)
m01oak54562cC,m01oak54562cC-t01.1,1.68,r:PF02671,4x:PAH,Paired amphipathic helix repeat
m01oak40918Cz,,1.68,,,
m01oak60181Cz,,1.68,,,
m01oak13819jC,,1.68,,,
m01oak11784Cz,,1.68,,,
m01oak31845Cz,,1.68,,,
m01oak14022CC,m01oak14022CC-t01.1,1.68,AT3G10980,,PLAC8 family protein
m01oak55650Cz,,1.68,,,
m01oak20543Cz,,1.68,,,
m01oak59219Cz,,1.68,,,
m01oak64363Cz,,1.68,,,
m01oak14872cC,m01oak14872cC-t01.1,1.68,AT5G47090,,unknown protein
m01oak25669Cz,,1.67,,,
m01oak75571jF,m01oak75571jF-t01.1,1.67,AT4G01970,STS,stachyose synthase
m01oak38157Cz,,1.67,,,
m01oak40360Jz,,1.67,,,
m01oak48521Cz,,1.67,,,
m01oak18285Cz,,1.67,,,
m01oak26893Cz,,1.67,,,
m01oak00363cC,m01oak00363cC-t01.1,1.67,AT5G17920,ATMS1,Cobalamin-independent synthase family protein
m01oak15267CF,m01oak15267CF-t01.1,1.67,F:PF00012,3x:HSP70,Hsp70 protein
m01oak58876Cz,,1.67,,,
m01oak07964CC,m01oak07964CC-t01.1,1.67,AT1G75200,,flavodoxin family protein / radical SAM domain-containing protein
m01oak08098cC,m01oak08098cC-t01.1,1.67,AT4G34370,ARI1,RING/U-box superfamily protein
m01oak38762Ci,m01oak38762Ci-t01.1,1.67,D:PF13676 F:PF01582,TIR_2 TIR,TIR domain ~ TIR domain
m01oak06617cC,m01oak06617cC-t01.1,1.67,AT4G02030,,Vps51/Vps67 family (components of vesicular transport) protein
m01oak04991cC,m01oak04991cC-t01.1,1.67,F:PF00137,2x:ATP-synt_C,ATP synthase subunit C
m01oak14239CC,m01oak14239CC-t01.1,1.67,AT2G05590,,TLD-domain containing nucleolar protein
m01oak28836Ci,m01oak28836Ci-t01.1,1.67,D:PF07728 F:PF00004,2x:AAA_5 AAA,AAA domain (dynein-related subfamily) ~ ATPase family associated with various cellular activities (AAA)
m01oak71072Cz,,1.67,,,
m01oak15992CC,m01oak15992CC-t01.1,1.67,AT1G28250,,unknown protein
m01oak37320Cz,,1.67,,,
m01oak48256Cz,,1.67,,,
m01oak25736Cz,,1.67,,,
m01oak15044Ct,m01oak15044Ct-t01.1,1.67,AT5G19660,S1P,SITE-1 protease
m01oak15272Cz,,1.67,,,
m01oak01064cC,m01oak01064cC-t01.1,1.67,AT5G50810,TIM8,translocase inner membrane subunit 8
m01oak08389cC,m01oak08389cC-t01.1,1.67,AT1G32740,,SBP (S-ribonuclease binding protein) family protein
m01oak72428Jz,,1.67,,,
m01oak57178Cz,,1.67,,,
m01oak16322Cz,,1.67,,,
m01oak07207CT,m01oak07207CT-t01.1,1.67,AT3G24160,PMP,putative type 1 membrane protein
m01oak13610Cz,,1.67,,,
m01oak05663CT,m01oak05663CT-t01.1,1.67,F:PF00153,Mito_carr,Mitochondrial carrier protein
m01oak31835Cz,,1.67,,,
m01oak12128cC,m01oak12128cC-t01.1,1.67,D:PF00096,2x:zf-C2H2,"Zinc finger, C2H2 type"
m01oak24631Cz,,1.67,,,
m01oak03276jC,m01oak03276jC-t01.1,1.67,AT4G02880,,unknown protein
m01oak10958CC,m01oak10958CC-t01.1,1.67,AT4G25180,,RNA polymerase III RPC4
m01oak39145Cz,,1.67,,,
m01oak16572cC,m01oak16572cC-t01.1,1.67,AT4G28480,,DNAJ heat shock family protein
m01oak41250Cz,,1.67,,,
m01oak32247Cz,,1.67,,,
m01oak18896CC,,1.67,,,
m01oak09623cC,m01oak09623cC-t01.1,1.67,D:PF00646,F-box,F-box domain
m01oak11059Ct,m01oak11059Ct-t01.1,1.67,D:PF00010,HLH,Helix-loop-helix DNA-binding domain
m01oak17938Cz,,1.67,,,
m01oak09446Ct,,1.67,,,
m01oak52920CT,m01oak52920CT-t01.1,1.67,AT1G14750,SDS,Cyclin family protein
m01oak05125cC,m01oak05125cC-t01.1,1.67,AT3G54620,BZIP25,basic leucine zipper 25
m01oak12061cf,m01oak12061cf-t01.1,1.67,AT3G14270,FAB1B,phosphatidylinositol-4-phosphate 5-kinase family protein
m01oak61011Cz,,1.67,,,
m01oak48435Cz,,1.67,,,
m01oak69557Cz,,1.67,,,
m01oak60922Cz,,1.67,,,
m01oak21979Cz,,1.67,,,
m01oak41297Cz,,1.66,,,
m01oak33368Cz,,1.66,,,
m01oak22674Cz,,1.66,,,
m01oak32955Cz,,1.66,,,
m01oak09468Cz,,1.66,,,
m01oak07802cC,m01oak07802cC-t01.1,1.66,AT3G20430,,unknown protein
m01oak41433Cz,,1.66,,,
m01oak04242CT,m01oak04242CT-t01.1,1.66,F:PF05185 F:PF06325 D:PF05175 D:PF13659 D:PF12847,PRMT5 PrmA MTS Methyltransf_26 Methyltransf_18,PRMT5 arginine-N-methyltransferase ~ Ribosomal protein L11 methyltransferase (PrmA) ~ Methyltransferase small domain ~ Methyltransferase domain ~ Methyltransferase domain
m01oak18476Cz,,1.66,,,
m01oak36633Cz,,1.66,,,
m01oak01529Cz,,1.66,,,
m01oak31727Cz,,1.66,,,
m01oak46109Cz,,1.66,,,
m01oak21386cC,m01oak21386cC-t01.1,1.66,F:PF11883 D:PF00069 D:PF07714,DUF3403 Pkinase Pkinase_Tyr,Domain of unknown function (DUF3403) ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak07012CT,m01oak07012CT-t01.1,1.66,F:PF14226 D:PF03171,DIOX_N 2OG-FeII_Oxy,non-haem dioxygenase in morphine synthesis N-terminal ~ 2OG-Fe(II) oxygenase superfamily
m01oak53283Jz,,1.66,,,
m01oak10160CT,m01oak10160CT-t01.1,1.66,D:PF02978,SRP_SPB,Signal peptide binding domain
m01oak44374Cz,,1.66,,,
m01oak39332Jz,,1.66,,,
m01oak57447Cz,,1.66,,,
m01oak62153Cz,,1.66,,,
m01oak00671cC,m01oak00671cC-t01.1,1.66,D:PF01176,eIF-1a,Translation initiation factor 1A / IF-1
m01oak21889JC,m01oak21889JC-t01.1,1.66,AT4G15240,,Protein of unknown function (DUF604)
m01oak02971Cz,,1.66,,,
m01oak10350cf,m01oak10350cf-t01.1,1.66,D:PF03822 F:PF14531 D:PF00069 D:PF07714,NAF Kinase-like Pkinase Pkinase_Tyr,NAF domain ~ Kinase-like ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak08317cC,m01oak08317cC-t01.1,1.66,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak62843Cz,,1.66,,,
m01oak46294CT,,1.66,,,
m01oak13520CC,m01oak13520CC-t01.1,1.66,AT5G41620,,unknown protein
m01oak79589Cz,,1.66,,,
m01oak65656ct,,1.66,,,
m01oak09812CC,m01oak09812CC-t01.1,1.66,AT3G17360,POK1,phragmoplast orienting kinesin 1
m01oak26420Cz,,1.66,,,
m01oak45021JC,m01oak45021JC-t01.1,1.66,AT3G07420,NS2,asparaginyl-tRNA synthetase 2
m01oak14008Cz,,1.66,,,
m01oak41515Cz,,1.66,,,
m01oak37363Cz,,1.66,,,
m01oak16434cC,m01oak16434cC-t01.1,1.66,AT3G24030,,hydroxyethylthiazole kinase family protein
m01oak63569Cz,,1.66,,,
m01oak56956Cz,,1.66,,,
m01oak16198Cz,,1.66,,,
m01oak09836cC,m01oak09836cC-t01.1,1.66,AT5G60860,RABA1f,RAB GTPase homolog A1F
m01oak57671Cz,,1.66,,,
m01oak03807CC,m01oak03807CC-t01.1,1.66,AT5G47010,LBA1,"RNA helicase, putative"
m01oak24963Ct,m01oak24963Ct-t01.1,1.66,F:PF06455,NADH5_C,NADH dehydrogenase subunit 5 C-terminus
m01oak16839Cz,,1.66,,,
m01oak05750CT,m01oak05750CT-t01.1,1.66,AT3G05520,,Subunits of heterodimeric actin filament capping protein Capz superfamily
m01oak37296Jz,,1.66,,,
m01oak19171Cz,,1.66,,,
m01oak57556Cz,,1.65,,,
m01oak21662Cz,,1.65,,,
m01oak29323CC,m01oak29323CC-t01.1,1.65,AT1G48960,,Adenine nucleotide alpha hydrolases-like superfamily protein
m01oak37550Cz,,1.65,,,
m01oak00681CC,m01oak00681CC-t01.1,1.65,AT5G33320,CUE1,Glucose-6-phosphate/phosphate translocator-related
m01oak33379Cz,,1.65,,,
m01oak18177Cz,,1.65,,,
m01oak62419Cz,,1.65,,,
m01oak67471Cz,,1.65,,,
m01oak00455CT,,1.65,,,
m01oak39485Cz,,1.65,,,
m01oak72887Cz,,1.65,,,
m01oak05110CI,m01oak05110CI-t01.1,1.65,D:PF14259 D:PF00076,2x:RRM_6 2x:RRM_1,"RNA recognition motif (a.k.a. RRM, RBD, or RNP domain) ~ RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
m01oak18222Cz,,1.65,,,
m01oak36087Cz,,1.65,,,
m01oak29092cC,m01oak29092cC-t01.1,1.65,AT1G08290,WIP3,WIP domain protein 3
m01oak18013Cz,,1.65,,,
m01oak13522CC,m01oak13522CC-t01.1,1.65,D:PF01842,ACT,ACT domain
m01oak00504cC,m01oak00504cC-t01.1,1.65,D:PF00125,Histone,Core histone H2A/H2B/H3/H4
m01oak54351Jz,,1.65,,,
m01oak10719Cz,,1.65,,,
m01oak07117cF,m01oak07117cF-t01.1,1.65,D:PF00270,DEAD,DEAD/DEAH box helicase
m01oak40277Cz,,1.65,,,
m01oak07938CC,m01oak07938CC-t01.1,1.65,AT3G22270,,Topoisomerase II-associated protein PAT1
m01oak56817Cz,,1.65,,,
m01oak51510Cz,,1.65,,,
m01oak34234Jz,,1.65,,,
m01oak34069Cz,,1.65,,,
m01oak01706Ct,m01oak01706Ct-t01.1,1.65,AT5G01350,,unknown protein
m01oak06684cC,m01oak06684cC-t01.1,1.65,F:PF07899,Frigida,Frigida-like protein
m01oak07264CC,m01oak07264CC-t01.1,1.65,AT1G10170,NFXL1,NF-X-like 1
m01oak21194cf,m01oak21194cf-t01.1,1.65,F:PF00954 D:PF01453,S_locus_glycop B_lectin,S-locus glycoprotein family ~ D-mannose binding lectin
m01oak05546Cz,,1.65,,,
m01oak75135Cz,,1.65,,,
m01oak54089Cz,,1.65,,,
m01oak22906cF,m01oak22906cF-t01.1,1.65,AT1G04880,,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain
m01oak05414CT,m01oak05414CT-t01.1,1.65,F:PF08491 F:PF01494,SE FAD_binding_3,Squalene epoxidase ~ FAD binding domain
m01oak43235Cz,,1.65,,,
m01oak42315Cz,,1.65,,,
m01oak46856Cz,,1.65,,,
m01oak01429cC,m01oak01429cC-t01.1,1.65,D:PF01423,LSM,LSM domain
m01oak51960Jz,,1.65,,,
m01oak38430Cz,,1.65,,,
m01oak34735Cz,,1.65,,,
m01oak51465Cz,,1.65,,,
m01oak05205cC,m01oak05205cC-t01.1,1.65,AT5G66880,SNRK2.3,sucrose nonfermenting 1 (SNF1)-related protein kinase 2.3
m01oak05171cC,m01oak05171cC-t01.1,1.65,AT3G16730,,unknown protein
m01oak12381cC,m01oak12381cC-t01.1,1.64,AT2G38720,MAP65-5,microtubule-associated protein 65-5
m01oak41091Cz,,1.64,,,
m01oak06575jF,m01oak06575jF-t01.1,1.64,D:PF08711 D:PF01426,Med26 BAH,TFIIS helical bundle-like domain ~ BAH domain
m01oak49313Cz,,1.64,,,
m01oak02614CC,m01oak02614CC-t01.1,1.64,AT3G62310,,RNA helicase family protein
m01oak20754Cz,,1.64,,,
m01oak21310Cz,,1.64,,,
m01oak40233Cz,,1.64,,,
m01oak01444CT,m01oak01444CT-t01.1,1.64,F:PF00004,AAA,ATPase family associated with various cellular activities (AAA)
m01oak23871Cz,,1.64,,,
m01oak57743Cz,,1.64,,,
m01oak35149Cz,,1.64,,,
m01oak38690Cz,,1.64,,,
m01oak21269Cz,,1.64,,,
m01oak03612cC,m01oak03612cC-t01.1,1.64,AT5G65260,,RNA-binding (RRM/RBD/RNP motifs) family protein
m01oak19225CC,m01oak19225CC-t01.1,1.64,F:PF03514,GRAS,GRAS domain family
m01oak16212Cz,,1.64,,,
m01oak41227Ct,,1.64,,,
m01oak13302Ci,,1.64,,,
m01oak00047Ct,m01oak00047Ct-t01.1,1.64,F:PF04758,Ribosomal_S30,Ribosomal protein S30
m01oak00360cC,m01oak00360cC-t01.1,1.64,AT4G13930,SHM4,serine hydroxymethyltransferase 4
m01oak05155cF,m01oak05155cF-t01.1,1.64,AT4G32730,PC-MYB1,Homeodomain-like protein
m01oak44683Jz,,1.64,,,
m01oak26401Cz,,1.64,,,
m01oak16814CC,m01oak16814CC-t01.1,1.64,AT5G40470,,RNI-like superfamily protein
m01oak37208Cz,,1.64,,,
m01oak37919Jz,,1.64,,,
m01oak51767Cz,,1.64,,,
m01oak03830CC,m01oak03830CC-t01.1,1.64,AT1G75080,BZR1,Brassinosteroid signalling positive regulator (BZR1) family protein
m01oak06363cC,m01oak06363cC-t01.1,1.64,AT1G08410,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
m01oak31791Cz,,1.64,,,
m01oak00714cf,,1.64,,,
m01oak47718cF,,1.64,,,
m01oak44036Cz,,1.64,,,
m01oak33167Cz,,1.64,,,
m01oak15968Cz,,1.63,,,
m01oak12578cC,m01oak12578cC-t01.1,1.63,D:PF14570 D:PF13920,zf-RING_4 zf-C3HC4_3,"RING/Ubox like zinc-binding domain ~ Zinc finger, C3HC4 type (RING finger)"
m01oak03675cC,m01oak03675cC-t01.1,1.63,AT4G34150,,Calcium-dependent lipid-binding (CaLB domain) family protein
m01oak27743Cz,,1.63,,,
m01oak66586Cz,,1.63,,,
m01oak49074Ji,,1.63,,,
m01oak68241Cz,,1.63,,,
m01oak57412Cz,,1.63,,,
m01oak62485Cz,,1.63,,,
m01oak52542Jz,,1.63,,,
m01oak11041Cz,,1.63,,,
m01oak12140cf,m01oak12140cf-t01.1,1.63,r:PF00415 r:PF13540,2x:RCC1 3x:RCC1_2,Regulator of chromosome condensation (RCC1) repeat ~ Regulator of chromosome condensation (RCC1) repeat
m01oak01371cC,m01oak01371cC-t01.1,1.63,AT5G02050,,Mitochondrial glycoprotein family protein
m01oak41890Cz,,1.63,,,
m01oak44270Cz,,1.63,,,
m01oak14784CT,,1.63,,,
m01oak41581Cz,,1.63,,,
m01oak37695Cz,,1.63,,,
m01oak19444cc,,1.63,,,
m01oak55587Cz,,1.63,,,
m01oak16023Cz,,1.63,,,
m01oak23906Cz,,1.63,,,
m01oak35381Cz,,1.63,,,
m01oak39188Cz,,1.63,,,
m01oak40359Cz,,1.63,,,
m01oak18460Ci,m01oak18460Ci-t01.1,1.63,D:PF00931,NB-ARC,NB-ARC domain
m01oak45331Cz,,1.63,,,
m01oak55403Cz,,1.63,,,
m01oak22700Cz,,1.63,,,
m01oak05270cC,m01oak05270cC-t01.1,1.63,D:PF01167 D:PF12937 D:PF00646,Tub F-box-like F-box,Tub family ~ F-box-like ~ F-box domain
m01oak21810Cz,,1.63,,,
m01oak02795cC,m01oak02795cC-t01.1,1.63,AT4G25030,,unknown protein
m01oak24552Cz,,1.63,,,
m01oak20518Cz,,1.63,,,
m01oak28379Cz,,1.63,,,
m01oak06854CC,m01oak06854CC-t01.1,1.63,AT2G15240,,UNC-50 family protein
m01oak40888Cz,,1.63,,,
m01oak41160Cz,,1.63,,,
m01oak61571Cz,,1.63,,,
m01oak60766Jz,,1.63,,,
m01oak16514cC,m01oak16514cC-t01.1,1.63,AT5G65660,,hydroxyproline-rich glycoprotein family protein
m01oak13873cC,m01oak13873cC-t01.1,1.63,AT1G75430,BLH11,BEL1-like homeodomain 11
m01oak69032Cz,,1.63,,,
m01oak06862jt,m01oak06862jt-t01.1,1.63,AT5G47430,,"DWNN domain, a CCHC-type zinc finger"
m01oak46399Cz,,1.63,,,
m01oak46113Cz,,1.63,,,
m01oak50575Cz,,1.63,,,
m01oak29866Cz,,1.63,,,
m01oak32972Cz,,1.63,,,
m01oak07759cC,m01oak07759cC-t01.1,1.63,AT5G40480,EMB3012,embryo defective 3012
m01oak66274Cz,,1.63,,,
m01oak50146Cz,,1.63,,,
m01oak20231CF,,1.63,,,
m01oak07831CC,m01oak07831CC-t01.1,1.62,AT1G79150,,binding
m01oak40496Cz,,1.62,,,
m01oak05015CC,m01oak05015CC-t01.1,1.62,AT3G17120,,unknown protein
m01oak68676Cz,,1.62,,,
m01oak47418Cz,,1.62,,,
m01oak37350Ci,m01oak37350Ci-t01.1,1.62,D:PF00931,NB-ARC,NB-ARC domain
m01oak01959Cz,,1.62,,,
m01oak76100Cz,,1.62,,,
m01oak11894cC,m01oak11894cC-t01.1,1.62,AT3G12620,,Protein phosphatase 2C family protein
m01oak50766Cz,,1.62,,,
m01oak12749cC,m01oak12749cC-t01.1,1.62,AT5G65490,,unknown protein
m01oak11768cf,m01oak11768cf-t01.1,1.62,D:PF01476,LysM,LysM domain
m01oak27821Cz,,1.62,,,
m01oak39504Cz,,1.62,,,
m01oak32471Cz,,1.62,,,
m01oak57030Cz,,1.62,,,
m01oak09189Cz,,1.62,,,
m01oak31887Cz,,1.62,,,
m01oak59939Cz,,1.62,,,
m01oak02134cC,m01oak02134cC-t01.1,1.62,F:PF00221,Lyase_aromatic,Aromatic amino acid lyase
m01oak52269Cz,,1.62,,,
m01oak32456Cz,,1.62,,,
m01oak57295Jz,,1.62,,,
m01oak33587Cz,,1.62,,,
m01oak03581cC,m01oak03581cC-t01.1,1.62,AT2G17790,VPS35A,VPS35 homolog A
m01oak12250Cz,,1.62,,,
m01oak11960Cz,,1.62,,,
m01oak31058Cz,,1.62,,,
m01oak06538CC,m01oak06538CC-t01.1,1.62,AT5G13190,,unknown protein
m01oak06411CF,m01oak06411CF-t01.1,1.62,AT2G34570,MEE21,PIN domain-like family protein
m01oak43359Cz,,1.62,,,
m01oak13428Cz,,1.62,,,
m01oak31783Cz,,1.62,,,
m01oak42803Cz,,1.62,,,
m01oak28574cf,,1.62,,,
m01oak11808Cz,,1.62,,,
m01oak30596Cz,,1.62,,,
m01oak18020cC,m01oak18020cC-t01.1,1.62,AT3G14280,,unknown protein
m01oak07037cC,m01oak07037cC-t01.1,1.62,AT2G30800,HVT1,helicase in vascular tissue and tapetum
m01oak02313CT,,1.62,,,
m01oak72010Cz,,1.62,,,
m01oak31682Cz,,1.62,,,
m01oak68083Cz,,1.62,,,
m01oak00303cC,m01oak00303cC-t01.1,1.62,D:PF00235,Profilin,Profilin
m01oak40198CC,m01oak40198CC-t01.1,1.62,AT1G12110,NRT1.1,nitrate transporter 1.1
m01oak48010Cz,,1.62,,,
m01oak18817Cz,m01oak18817Cz-t01.1,1.62,F:PF00083 F:PF07690,Sugar_tr MFS_1,Sugar (and other) transporter ~ Major Facilitator Superfamily
m01oak43933Cz,,1.61,,,
m01oak26482Cz,,1.61,,,
m01oak10931ct,m01oak10931ct-t01.1,1.61,AT3G07510,,unknown protein
m01oak01879Ct,m01oak01879Ct-t01.1,1.61,AT3G55460,SCL30,SC35-like splicing factor 30
m01oak14343JT,m01oak14343JT-t01.1,1.61,F:PF03547,Mem_trans,Membrane transport protein
m01oak14214Cz,,1.61,,,
m01oak16422Cz,,1.61,,,
m01oak26134cf,m01oak26134cf-t01.1,1.61,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak02991cC,m01oak02991cC-t01.1,1.61,AT1G20110,,RING/FYVE/PHD zinc finger superfamily protein
m01oak19470Cz,,1.61,,,
m01oak32491cf,m01oak32491cf-t01.1,1.61,F:PF01693,Cauli_VI,Caulimovirus viroplasmin
m01oak34431Ct,m01oak34431Ct-t01.1,1.61,AT1G04570,,Major facilitator superfamily protein
m01oak18763CF,m01oak18763CF-t01.1,1.61,D:PF14380 D:PF13947,WAK_assoc GUB_WAK_bind,Wall-associated receptor kinase C-terminal ~ Wall-associated receptor kinase galacturonan-binding
m01oak16528Cz,m01oak16528Cz-t01.1,1.61,D:PF00069,Pkinase,Protein kinase domain
m01oak41359Cz,,1.61,,,
m01oak65816Cz,,1.61,,,
m01oak06477Cz,,1.61,,,
m01oak31997Cz,,1.61,,,
m01oak52731Cz,,1.61,,,
m01oak44936Cz,,1.61,,,
m01oak79896Cz,,1.61,,,
m01oak26546Cz,,1.61,,,
m01oak50728Cz,,1.61,,,
m01oak59028Cz,,1.61,,,
m01oak35251Cz,,1.61,,,
m01oak02191CC,m01oak02191CC-t01.1,1.61,AT4G15790,,unknown protein
m01oak05239CC,m01oak05239CC-t01.1,1.61,AT5G53800,,unknown protein
m01oak47939Cz,,1.61,,,
m01oak71002Cz,,1.61,,,
m01oak12407CC,m01oak12407CC-t01.1,1.61,AT1G56440,,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak60400Jz,,1.61,,,
m01oak09171cm,m01oak09171cm-t01.1,1.61,AT5G10710,,unknown protein
m01oak33009cf,m01oak33009cf-t01.1,1.61,AT2G21237,,unknown protein
m01oak45939Cz,,1.61,,,
m01oak35906Cz,,1.61,,,
m01oak11603cC,m01oak11603cC-t01.1,1.61,AT1G15240,,"Phox-associated domain; Phox-like; Sorting nexin, C-terminal"
m01oak32277cC,m01oak32277cC-t01.1,1.61,F:PF02065,Melibiase,Melibiase
m01oak26870Cz,,1.61,,,
m01oak14877cf,m01oak14877cf-t01.1,1.61,D:PF13833 D:PF13499 D:PF13202 D:PF13405,EF-hand_8 EF-hand_7 EF-hand_5 EF-hand_6,EF-hand domain pair ~ EF-hand domain pair ~ EF hand ~ EF-hand domain
m01oak10659jC,m01oak10659jC-t01.1,1.61,AT1G34355,PS1,forkhead-associated (FHA) domain-containing protein
m01oak63161Cz,,1.61,,,
m01oak63533Cz,,1.61,,,
m01oak28472Cz,,1.61,,,
m01oak21851Cz,,1.61,,,
m01oak44427Cz,,1.61,,,
m01oak23945cC,m01oak23945cC-t01.1,1.61,F:PF14244 F:PF03732,UBN2_3 Retrotrans_gag,gag-polypeptide of LTR copia-type ~ Retrotransposon gag protein
m01oak11552Cz,,1.61,,,
m01oak43198Cz,,1.61,,,
m01oak33969Cz,,1.61,,,
m01oak26590Cz,,1.60,,,
m01oak04537CF,m01oak04537CF-t01.1,1.60,AT5G46840,,RNA-binding (RRM/RBD/RNP motifs) family protein
m01oak11662Cz,,1.60,,,
m01oak40028CC,,1.60,,,
m01oak09094cf,,1.60,,,
m01oak57842Cz,,1.60,,,
m01oak18877Cz,,1.60,,,
m01oak03265CC,m01oak03265CC-t01.1,1.60,F:PF01754 F:PF01428,zf-A20 zf-AN1,A20-like zinc finger ~ AN1-like Zinc finger
m01oak11637Cz,,1.60,,,
m01oak41252Cz,,1.60,,,
m01oak25259Cz,,1.60,,,
m01oak00167cC,m01oak00167cC-t01.1,1.60,F:PF00833,Ribosomal_S17e,Ribosomal S17
m01oak20040Cz,,1.60,,,
m01oak19254Cz,,1.60,,,
m01oak28988Cz,,1.60,,,
m01oak14933Ct,m01oak14933Ct-t01.1,1.60,F:PF07887,Calmodulin_bind,Calmodulin binding protein-like
m01oak22624Cz,,1.60,,,
m01oak10602CF,,1.60,,,
m01oak14095Cz,,1.60,,,
m01oak26193cf,m01oak26193cf-t01.1,1.60,D:PF00412,LIM,LIM domain
m01oak02942cC,m01oak02942cC-t01.1,1.60,AT2G24360,,Protein kinase superfamily protein
m01oak68926Cz,,1.60,,,
m01oak04006CT,m01oak04006CT-t01.1,1.60,D:PF00160,Pro_isomerase,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
m01oak51947Jz,,1.60,,,
m01oak17898Cz,,1.60,,,
m01oak07257CC,m01oak07257CC-t01.1,1.60,AT2G15270,,unknown protein
m01oak33656Cz,,1.60,,,
m01oak02802Ct,m01oak02802Ct-t01.1,1.60,F:PF06273,eIF-4B,Plant specific eukaryotic initiation factor 4B
m01oak56884Cz,,1.60,,,
